time,batt,c,heading,pitch,roll,T
2024-01-11 18:45:06,14.30,1509.6,80.2,-1.10,-0.50,16.60
2024-01-11 18:55:06,14.30,1509.6,80.2,-1.10,-0.49,16.60
2024-01-11 19:05:06,14.30,1509.6,80.2,-1.10,-0.49,16.60
2024-01-11 19:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 19:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 19:35:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 19:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 19:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 20:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 20:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 20:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 20:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 20:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 20:55:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 21:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 21:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 21:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.60
2024-01-11 21:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 21:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 21:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.60
2024-01-11 22:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.59
2024-01-11 22:15:06,14.30,1509.6,80.3,-1.10,-0.49,16.59
2024-01-11 22:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.59
2024-01-11 22:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 22:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 22:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 23:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 23:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 23:25:06,14.30,1509.6,80.3,-1.10,-0.49,16.59
2024-01-11 23:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 23:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-11 23:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 00:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.59
2024-01-12 00:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 00:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 00:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 00:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 00:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 01:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.59
2024-01-12 01:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 01:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 01:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 01:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.58
2024-01-12 01:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 02:05:06,14.30,1509.6,80.3,-1.10,-0.49,16.58
2024-01-12 02:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 02:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 02:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 02:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 02:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 03:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 03:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 03:25:06,14.30,1509.6,80.2,-1.11,-0.49,16.58
2024-01-12 03:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 03:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 03:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 04:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 05:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.58
2024-01-12 05:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 05:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 05:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 05:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 05:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 06:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 07:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 08:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 09:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 09:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.57
2024-01-12 09:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 09:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 09:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 09:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 10:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 10:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 10:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 10:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 10:45:06,14.30,1509.6,80.3,-1.10,-0.49,16.56
2024-01-12 10:55:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:35:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:45:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 11:55:06,14.30,1509.6,80.3,-1.10,-0.50,16.56
2024-01-12 12:05:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 12:15:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
2024-01-12 12:25:06,14.30,1509.6,80.3,-1.11,-0.49,16.56
