blk,umean,urms,vmean,vrms,wmean,corr,fbad,p
160,0.00671,0.19370,0.03267,0.05917,0.00159,94.4,0.0000,8.736
161,-0.00304,0.19522,0.04154,0.05853,0.00320,89.5,0.0063,8.758
162,-0.00531,0.18958,0.04108,0.06680,0.00291,91.0,0.0004,8.793
163,0.00040,0.18658,0.04139,0.05799,0.00086,95.2,0.0000,8.842
164,0.01702,0.18770,0.05411,0.06139,-0.00231,94.6,0.0004,8.896
165,0.01461,0.18856,0.05877,0.06156,-0.00400,96.2,0.0000,8.972
166,0.00933,0.16787,0.06115,0.05439,-0.00315,96.6,0.0000,9.055
167,0.00220,0.17480,0.06050,0.05656,-0.00131,96.1,0.0000,9.144
168,-0.00852,0.17571,0.06485,0.05867,0.00135,95.8,0.0000,9.243
169,-0.00383,0.17137,0.05827,0.05869,0.00036,95.6,0.0000,9.343
170,0.01330,0.16726,0.04925,0.06135,-0.00218,95.8,0.0000,9.437
171,0.08276,0.18771,0.02276,0.05905,-0.00408,95.9,0.0000,9.539
172,0.06793,0.16622,0.02356,0.06210,-0.00141,96.2,0.0000,9.646
173,0.05362,0.17056,0.03634,0.05514,-0.00170,96.6,0.0000,9.749
174,0.02638,0.16812,0.02323,0.06151,-0.00232,96.4,0.0000,9.834
175,0.00826,0.15853,0.02060,0.05683,0.00260,96.3,0.0000,9.903
176,0.00896,0.17251,0.01661,0.06149,0.00331,96.2,0.0000,9.963
177,-0.00517,0.17430,0.02416,0.06046,0.00230,96.3,0.0000,10.013
178,-0.00907,0.17089,0.01552,0.05602,0.00288,96.2,0.0000,10.046
179,-0.03225,0.15388,-0.00428,0.05931,-0.00061,96.5,0.0000,10.077
180,-0.01587,0.15809,-0.00159,0.05745,0.00121,96.3,0.0000,10.084
181,-0.00512,0.16031,0.00254,0.06054,0.00195,96.2,0.0000,10.076
182,0.01223,0.15752,0.01930,0.05595,0.00159,95.4,0.0000,10.049
183,0.00562,0.19085,0.01604,0.05678,0.00266,94.8,0.0004,10.011
184,-0.00167,0.16074,0.02456,0.05662,0.00305,95.0,0.0000,9.966
185,0.00149,0.17913,0.03113,0.05583,0.00202,94.1,0.0017,9.911
186,0.00842,0.18392,0.04055,0.05984,-0.00035,93.5,0.0013,9.837
187,0.00431,0.17250,0.05023,0.05921,-0.00055,93.1,0.0008,9.765
188,-0.00289,0.19007,0.05560,0.06174,-0.00039,93.3,0.0000,9.680
189,0.00016,0.18539,0.05745,0.05842,0.00037,92.3,0.0021,9.610
190,-0.00371,0.19233,0.06393,0.05725,-0.00001,91.7,0.0100,9.537
191,-0.00993,0.18552,0.07324,0.05657,-0.00015,89.8,0.0046,9.457
192,0.00782,0.18201,0.06798,0.05580,-0.00162,87.9,0.0083,9.377
193,0.01676,0.18378,0.06995,0.05430,-0.00389,93.1,0.0004,9.302
194,-0.00410,0.16605,0.07808,0.05847,-0.00100,95.1,0.0000,9.239
195,-0.00272,0.18484,0.08846,0.05411,-0.00213,94.2,0.0008,9.190
196,-0.00864,0.18467,0.09062,0.05481,-0.00118,94.6,0.0000,9.159
197,0.00474,0.18535,0.09623,0.05250,-0.00339,94.1,0.0013,9.142
198,-0.00726,0.18256,0.09635,0.05470,-0.00209,94.3,0.0004,9.122
199,-0.01085,0.19395,0.09788,0.05589,-0.00104,95.0,0.0000,9.101
200,-0.00494,0.17316,0.09629,0.05445,-0.00298,94.5,0.0000,9.093
201,-0.00263,0.18721,0.09041,0.05437,-0.00257,95.3,0.0000,9.096
202,0.00105,0.18405,0.08247,0.05451,-0.00292,96.4,0.0000,9.113
203,-0.01260,0.16423,0.08661,0.05683,-0.00206,96.5,0.0000,9.135
204,-0.03285,0.16138,0.07356,0.05476,-0.00152,96.5,0.0000,9.171
205,-0.04307,0.16476,0.06446,0.05779,-0.00333,96.5,0.0000,9.210
206,-0.04387,0.18786,0.05864,0.05838,-0.00299,96.3,0.0000,9.245
207,-0.04651,0.18155,0.04882,0.05510,-0.00290,96.2,0.0000,9.299
208,-0.05386,0.17004,0.04830,0.05939,-0.00520,95.9,0.0000,9.352
209,-0.05056,0.17208,0.03256,0.05490,-0.00408,95.3,0.0000,9.410
210,-0.05500,0.16451,0.00906,0.05707,-0.00343,95.1,0.0000,9.464
211,-0.06268,0.16931,-0.01969,0.05872,-0.00454,94.7,0.0000,9.516
212,-0.06958,0.18952,-0.05645,0.05279,-0.00699,93.9,0.0000,9.561
213,-0.05288,0.16604,-0.03942,0.06013,-0.00471,94.4,0.0000,9.599
214,-0.02684,0.17389,-0.03907,0.06381,-0.00457,94.9,0.0000,9.632
215,-0.01766,0.15400,-0.07152,0.05442,-0.00490,95.5,0.0000,9.651
216,-0.04152,0.14115,-0.09797,0.05198,-0.00801,95.7,0.0000,9.658
217,-0.05414,0.15274,-0.10404,0.05529,-0.00859,95.2,0.0000,9.644
218,-0.06088,0.15221,-0.09289,0.06051,-0.00711,95.1,0.0000,9.635
219,-0.03846,0.15259,-0.08897,0.04973,-0.00737,95.4,0.0000,9.606
220,-0.02756,0.14780,-0.09498,0.05261,-0.00739,94.9,0.0000,9.580
221,-0.02149,0.16161,-0.09797,0.05480,-0.00701,93.7,0.0000,9.535
222,0.00090,0.15320,-0.07651,0.05648,-0.00300,94.2,0.0000,9.481
223,-0.02156,0.14928,-0.09380,0.05472,-0.00721,94.1,0.0000,9.411
224,-0.01261,0.14275,-0.12146,0.05634,-0.00630,93.5,0.0000,9.343
225,-0.03263,0.13614,-0.10580,0.05138,-0.00782,94.5,0.0000,9.278
226,-0.02369,0.14561,-0.11379,0.05284,-0.00823,94.9,0.0000,9.211
227,-0.03702,0.14963,-0.09529,0.05501,-0.00768,95.4,0.0000,9.145
228,-0.04577,0.13962,-0.07591,0.05113,-0.00652,95.0,0.0000,9.087
229,-0.03826,0.14106,-0.08621,0.05104,-0.00579,94.0,0.0000,9.029
230,-0.02519,0.15223,-0.08624,0.05282,-0.00667,93.3,0.0000,8.973
231,-0.01296,0.14575,-0.07321,0.05341,-0.00538,93.1,0.0000,8.938
232,-0.01342,0.14624,-0.07634,0.05545,-0.00610,93.4,0.0000,8.909
233,-0.01081,0.13201,-0.08949,0.05364,-0.00415,90.9,0.0000,8.901
234,-0.00218,0.14379,-0.08672,0.05784,-0.00430,90.2,0.0000,8.894
235,-0.00597,0.14085,-0.06390,0.05417,-0.00666,93.9,0.0000,8.907
236,-0.00551,0.13460,-0.07061,0.05428,-0.00498,93.5,0.0004,8.938
237,-0.00017,0.13869,-0.06325,0.05307,-0.00427,93.3,0.0000,8.977
238,-0.00082,0.13380,-0.05370,0.05028,-0.00391,94.2,0.0000,9.024
239,0.00927,0.13784,-0.06606,0.05272,-0.00490,95.2,0.0000,9.091
240,0.01872,0.12202,-0.05776,0.05294,-0.00407,95.4,0.0000,9.159
241,0.00905,0.13929,-0.04071,0.05018,-0.00287,95.5,0.0000,9.247
242,-0.00826,0.13746,-0.04554,0.05345,-0.00279,95.2,0.0000,9.343
243,0.00137,0.12706,-0.04838,0.04927,-0.00464,95.4,0.0000,9.448
244,0.00264,0.13430,-0.06788,0.04717,-0.00481,95.6,0.0000,9.551
245,0.00969,0.12148,-0.07837,0.04626,-0.00495,95.5,0.0000,9.662
246,0.01187,0.13148,-0.07890,0.05255,-0.00569,95.4,0.0000,9.764
247,0.01030,0.12015,-0.09106,0.04959,-0.00509,95.3,0.0000,9.859
248,0.01269,0.13657,-0.10131,0.05155,-0.00621,94.7,0.0000,9.950
249,0.01893,0.13308,-0.09766,0.05939,-0.00586,94.8,0.0000,10.036
250,0.01337,0.13514,-0.09929,0.05356,-0.00726,95.2,0.0000,10.107
251,0.01446,0.14755,-0.11273,0.05002,-0.00626,94.9,0.0000,10.156
252,0.01359,0.13784,-0.11266,0.05534,-0.00745,95.3,0.0000,10.195
253,0.00605,0.13547,-0.11434,0.05098,-0.00694,95.5,0.0000,10.228
254,0.00223,0.15055,-0.11416,0.05255,-0.00767,95.4,0.0000,10.238
